date,app,service,region,usage_kwh,cost_usd
2026-05-23,Search-RAG,Storage,us-west,21.589,290.2
2026-05-24,Search-RAG,Storage,us-west,22.516,241.54
2026-05-25,Search-RAG,Storage,us-west,22.46,238.77
2026-05-26,Search-RAG,Storage,us-west,21.462,219.8
2026-05-27,Search-RAG,Storage,us-west,19.888,243.73
2026-05-28,Search-RAG,Storage,us-west,22.629,268.74
2026-05-29,Search-RAG,Storage,us-west,27.489,309.41
2026-05-30,Search-RAG,Storage,us-west,25.03,225.06
2026-05-01,Doc-Summarizer,Compute,eu-west,7.864,77.7
2026-05-02,Doc-Summarizer,Compute,eu-west,8.566,73.58
2026-05-03,Doc-Summarizer,Compute,eu-west,7.148,66.37
2026-05-04,Doc-Summarizer,Compute,eu-west,8.783,60.59
2026-05-05,Doc-Summarizer,Compute,eu-west,8.125,60.27
2026-05-06,Doc-Summarizer,Compute,eu-west,7.309,70.74
2026-05-07,Doc-Summarizer,Compute,eu-west,8.651,74.17
2026-05-08,Doc-Summarizer,Compute,eu-west,6.532,67.62
2026-05-09,Doc-Summarizer,Compute,eu-west,8.96,70.44
2026-05-10,Doc-Summarizer,Compute,eu-west,9.023,61.0
2026-05-11,Doc-Summarizer,Compute,eu-west,6.862,55.71
2026-05-12,Doc-Summarizer,Compute,eu-west,7.899,61.3
2026-05-13,Doc-Summarizer,Compute,eu-west,7.087,60.92
2026-05-14,Doc-Summarizer,Compute,eu-west,9.635,62.21
2026-05-15,Doc-Summarizer,Compute,eu-west,8.202,68.12
2026-05-16,Doc-Summarizer,Compute,eu-west,6.678,57.35
2026-05-17,Doc-Summarizer,Compute,eu-west,7.326,59.84
2026-05-18,Doc-Summarizer,Compute,eu-west,9.278,72.25
2026-05-19,Doc-Summarizer,Compute,eu-west,8.001,72.58
2026-05-20,Doc-Summarizer,Compute,eu-west,9.125,55.36
2026-05-21,Doc-Summarizer,Compute,eu-west,8.689,64.57
2026-05-22,Doc-Summarizer,Compute,eu-west,9.732,68.19
2026-05-23,Doc-Summarizer,Compute,eu-west,8.454,64.79
2026-05-24,Doc-Summarizer,Compute,eu-west,9.609,59.18
2026-05-25,Doc-Summarizer,Compute,eu-west,9.418,64.9
2026-05-26,Doc-Summarizer,Compute,eu-west,8.51,77.9
2026-05-27,Doc-Summarizer,Compute,eu-west,8.857,69.3
2026-05-28,Doc-Summarizer,Compute,eu-west,8.159,72.29
2026-05-29,Doc-Summarizer,Compute,eu-west,9.22,76.61
2026-05-30,Doc-Summarizer,Compute,eu-west,8.299,74.17
2026-05-01,Code-Assistant,Compute,us-east,11.571,118.99
2026-05-02,Code-Assistant,Compute,us-east,9.75,125.19
2026-05-03,Code-Assistant,Compute,us-east,11.432,148.56
2026-05-04,Code-Assistant,Compute,us-east,13.384,128.0
2026-05-05,Code-Assistant,Compute,us-east,13.87,148.06
2026-05-06,Code-Assistant,Compute,us-east,14.356,152.36
2026-05-07,Code-Assistant,Compute,us-east,11.759,121.18
2026-05-08,Code-Assistant,Compute,us-east,13.355,112.01
2026-05-09,Code-Assistant,Compute,us-east,12.377,108.65
2026-05-10,Code-Assistant,Compute,us-east,12.654,136.63
2026-05-11,Code-Assistant,Compute,us-east,10.794,161.4
2026-05-12,Code-Assistant,Compute,us-east,10.788,126.43
2026-05-13,Code-Assistant,Compute,us-east,11.84,142.58
2026-05-14,Code-Assistant,Compute,us-east,9.863,149.64
2026-05-15,Code-Assistant,Compute,us-east,11.356,142.67
2026-05-16,Code-Assistant,Compute,us-east,13.023,148.18
2026-05-17,Code-Assistant,Compute,us-east,11.687,158.7
2026-05-18,Code-Assistant,Compute,us-east,10.524,118.33
2026-05-19,Code-Assistant,Compute,us-east,11.994,108.7
2026-05-20,Code-Assistant,Compute,us-east,10.342,115.8
2026-05-21,Code-Assistant,Compute,us-east,12.747,114.4
2026-05-22,Code-Assistant,Compute,us-east,9.853,143.62
2026-05-23,Code-Assistant,Compute,us-east,11.637,137.95
2026-05-24,Code-Assistant,Compute,us-east,12.465,119.33
2026-05-25,Code-Assistant,Compute,us-east,9.854,145.24
2026-05-26,Code-Assistant,Compute,us-east,12.846,148.87
2026-05-27,Code-Assistant,Compute,us-east,10.381,116.63
2026-05-28,Code-Assistant,Compute,us-east,11.966,140.28
2026-05-29,Code-Assistant,Compute,us-east,9.966,147.84
2026-05-30,Code-Assistant,Compute,us-east,11.565,113.77
2026-05-01,Analytics-Agent,Analytics,us-east,29.376,427.73
2026-05-02,Analytics-Agent,Analytics,us-east,30.891,384.79
2026-05-03,Analytics-Agent,Analytics,us-east,21.965,431.92
2026-05-04,Analytics-Agent,Analytics,us-east,21.107,468.52
2026-05-05,Analytics-Agent,Analytics,us-east,24.089,358.65
2026-05-06,Analytics-Agent,Analytics,us-east,27.897,443.67
2026-05-07,Analytics-Agent,Analytics,us-east,30.823,401.01
2026-05-08,Analytics-Agent,Analytics,us-east,24.972,392.37
2026-05-09,Analytics-Agent,Analytics,us-east,28.289,384.8
2026-05-10,Analytics-Agent,Analytics,us-east,21.631,431.48
2026-05-11,Analytics-Agent,Analytics,us-east,28.035,358.39
2026-05-12,Analytics-Agent,Analytics,us-east,27.374,450.55
2026-05-13,Analytics-Agent,Analytics,us-east,21.901,447.23
2026-05-14,Analytics-Agent,Analytics,us-east,28.888,329.68
2026-05-15,Analytics-Agent,Analytics,us-east,29.699,455.27
2026-05-16,Analytics-Agent,Analytics,us-east,27.095,354.51
2026-05-17,Analytics-Agent,Analytics,us-east,22.1,389.4
2026-05-18,Analytics-Agent,Analytics,us-east,31.09,412.41
2026-05-19,Analytics-Agent,Analytics,us-east,28.994,375.86
2026-05-20,Analytics-Agent,Analytics,us-east,24.457,320.52
2026-05-21,Analytics-Agent,Analytics,us-east,25.302,450.43
2026-05-22,Analytics-Agent,Analytics,us-east,24.7,344.71
2026-05-23,Analytics-Agent,Analytics,us-east,26.111,349.5
2026-05-24,Analytics-Agent,Analytics,us-east,24.394,442.03
2026-05-25,Analytics-Agent,Analytics,us-east,29.691,369.75
2026-05-26,Analytics-Agent,Analytics,us-east,29.407,455.07
2026-05-27,Analytics-Agent,Analytics,us-east,21.939,426.76
2026-05-28,Analytics-Agent,Analytics,us-east,30.85,359.63
2026-05-29,Analytics-Agent,Analytics,us-east,27.461,317.59
2026-05-30,Analytics-Agent,Analytics,us-east,29.474,465.77
