date,app,model,provider,region,input_tokens,output_tokens,total_tokens,cost_usd,trace_count
2026-05-15,Search-RAG,small,anthropic,us-west,8476436,5650957,14127393,14.13,558
2026-05-16,Search-RAG,small,anthropic,us-west,7647106,5098070,12745176,12.75,388
2026-05-17,Search-RAG,small,anthropic,us-west,9303538,6202359,15505897,15.51,697
2026-05-18,Search-RAG,small,anthropic,us-west,7848910,5232607,13081517,13.08,456
2026-05-19,Search-RAG,small,anthropic,us-west,7229732,4819822,12049554,12.05,414
2026-05-20,Search-RAG,small,anthropic,us-west,7171468,4780979,11952447,11.95,306
2026-05-21,Search-RAG,small,anthropic,us-west,8176153,5450768,13626921,13.63,363
2026-05-22,Search-RAG,small,anthropic,us-west,7222906,4815271,12038177,12.04,476
2026-05-23,Search-RAG,small,anthropic,us-west,8250266,5500178,13750444,13.75,458
2026-05-24,Search-RAG,small,anthropic,us-west,9250151,6166768,15416919,15.42,654
2026-05-25,Search-RAG,small,anthropic,us-west,7659136,5106090,12765226,12.77,334
2026-05-26,Search-RAG,small,anthropic,us-west,7084302,4722868,11807170,11.81,316
2026-05-27,Search-RAG,small,anthropic,us-west,9568451,6378967,15947418,15.95,614
2026-05-28,Search-RAG,small,anthropic,us-west,8010668,5340446,13351114,13.35,407
2026-05-29,Search-RAG,small,anthropic,us-west,6674400,4449600,11124000,11.12,346
2026-05-30,Search-RAG,small,anthropic,us-west,6534608,4356405,10891013,10.89,472
2026-05-01,Doc-Summarizer,mid,anthropic,eu-west,6660197,4440131,11100328,66.6,278
2026-05-02,Doc-Summarizer,mid,anthropic,eu-west,6122243,4081496,10203739,61.22,309
2026-05-03,Doc-Summarizer,mid,anthropic,eu-west,6699050,4466034,11165084,66.99,388
2026-05-04,Doc-Summarizer,mid,anthropic,eu-west,6100484,4066989,10167473,61.0,335
2026-05-05,Doc-Summarizer,mid,anthropic,eu-west,4823222,3215481,8038703,48.23,359
2026-05-06,Doc-Summarizer,mid,anthropic,eu-west,5603358,3735572,9338930,56.03,381
2026-05-07,Doc-Summarizer,mid,anthropic,eu-west,4868800,3245866,8114666,48.69,303
2026-05-08,Doc-Summarizer,mid,anthropic,eu-west,7061827,4707884,11769711,70.62,371
2026-05-09,Doc-Summarizer,mid,anthropic,eu-west,6940372,4626915,11567287,69.4,470
2026-05-10,Doc-Summarizer,mid,anthropic,eu-west,6826923,4551282,11378205,68.27,466
2026-05-11,Doc-Summarizer,mid,anthropic,eu-west,5563235,3708824,9272059,55.63,433
2026-05-12,Doc-Summarizer,mid,anthropic,eu-west,4961496,3307664,8269160,49.61,253
2026-05-13,Doc-Summarizer,mid,anthropic,eu-west,6938655,4625770,11564425,69.39,471
2026-05-14,Doc-Summarizer,mid,anthropic,eu-west,7104864,4736576,11841440,71.05,311
2026-05-15,Doc-Summarizer,mid,anthropic,eu-west,5028347,3352231,8380578,50.28,225
2026-05-16,Doc-Summarizer,mid,anthropic,eu-west,5993528,3995685,9989213,59.94,466
2026-05-17,Doc-Summarizer,mid,anthropic,eu-west,4988709,3325806,8314515,49.89,336
2026-05-18,Doc-Summarizer,mid,anthropic,eu-west,6655595,4437063,11092658,66.56,332
2026-05-19,Doc-Summarizer,mid,anthropic,eu-west,6668210,4445473,11113683,66.68,458
2026-05-20,Doc-Summarizer,mid,anthropic,eu-west,5131385,3420923,8552308,51.31,378
2026-05-21,Doc-Summarizer,mid,anthropic,eu-west,5967712,3978474,9946186,59.68,257
2026-05-22,Doc-Summarizer,mid,anthropic,eu-west,6147376,4098251,10245627,61.47,326
2026-05-23,Doc-Summarizer,mid,anthropic,eu-west,5460874,3640582,9101456,54.61,309
2026-05-24,Doc-Summarizer,mid,anthropic,eu-west,6925211,4616807,11542018,69.25,323
2026-05-25,Doc-Summarizer,mid,anthropic,eu-west,5841995,3894664,9736659,58.42,269
2026-05-26,Doc-Summarizer,mid,anthropic,eu-west,5332472,3554981,8887453,53.32,373
2026-05-27,Doc-Summarizer,mid,anthropic,eu-west,6122044,4081362,10203406,61.22,465
2026-05-28,Doc-Summarizer,mid,anthropic,eu-west,6581650,4387766,10969416,65.82,383
2026-05-29,Doc-Summarizer,mid,anthropic,eu-west,5306803,3537868,8844671,53.07,311
2026-05-30,Doc-Summarizer,mid,anthropic,eu-west,5573366,3715578,9288944,55.73,317
2026-05-01,Code-Assistant,mid,anthropic,us-east,5384632,3589755,8974387,53.85,355
2026-05-02,Code-Assistant,mid,anthropic,us-east,5274710,3516474,8791184,52.75,246
2026-05-03,Code-Assistant,mid,anthropic,us-east,5887939,3925293,9813232,58.88,337
2026-05-04,Code-Assistant,mid,anthropic,us-east,4140306,2760204,6900510,41.4,242
2026-05-05,Code-Assistant,mid,anthropic,us-east,4740518,3160345,7900863,47.41,202
2026-05-06,Code-Assistant,mid,anthropic,us-east,4615586,3077057,7692643,46.16,193
2026-05-07,Code-Assistant,mid,anthropic,us-east,5646254,3764169,9410423,56.46,302
2026-05-08,Code-Assistant,mid,anthropic,us-east,4436735,2957824,7394559,44.37,215
2026-05-09,Code-Assistant,mid,anthropic,us-east,4321415,2880944,7202359,43.21,312
2026-05-10,Code-Assistant,mid,anthropic,us-east,4831263,3220842,8052105,48.31,310
2026-05-11,Code-Assistant,mid,anthropic,us-east,4778519,3185680,7964199,47.79,202
2026-05-12,Code-Assistant,mid,anthropic,us-east,4495708,2997138,7492846,44.96,237
2026-05-13,Code-Assistant,mid,anthropic,us-east,4439005,2959336,7398341,44.39,240
2026-05-14,Code-Assistant,mid,anthropic,us-east,5767780,3845187,9612967,57.68,275
2026-05-15,Code-Assistant,mid,anthropic,us-east,4820445,3213630,8034075,48.2,380
2026-05-16,Code-Assistant,mid,anthropic,us-east,5645615,3763744,9409359,56.46,297
2026-05-17,Code-Assistant,mid,anthropic,us-east,5031947,3354631,8386578,50.32,279
2026-05-18,Code-Assistant,mid,anthropic,us-east,4045935,2697290,6743225,40.46,182
2026-05-19,Code-Assistant,mid,anthropic,us-east,5917766,3945178,9862944,59.18,426
2026-05-20,Code-Assistant,mid,anthropic,us-east,5595655,3730436,9326091,55.96,238
2026-05-21,Code-Assistant,mid,anthropic,us-east,5858010,3905340,9763350,58.58,452
2026-05-22,Code-Assistant,mid,anthropic,us-east,5773900,3849266,9623166,57.74,406
2026-05-23,Code-Assistant,mid,anthropic,us-east,5620649,3747100,9367749,56.21,294
2026-05-24,Code-Assistant,mid,anthropic,us-east,4274263,2849509,7123772,42.74,213
2026-05-25,Code-Assistant,mid,anthropic,us-east,4904321,3269547,8173868,49.04,331
2026-05-26,Code-Assistant,mid,anthropic,us-east,4367858,2911905,7279763,43.68,325
2026-05-27,Code-Assistant,mid,anthropic,us-east,4737398,3158266,7895664,47.37,209
2026-05-28,Code-Assistant,mid,anthropic,us-east,4061813,2707875,6769688,40.62,272
2026-05-29,Code-Assistant,mid,anthropic,us-east,4693858,3129239,7823097,46.94,245
2026-05-30,Code-Assistant,mid,anthropic,us-east,5890196,3926797,9816993,58.9,303
2026-05-01,Analytics-Agent,large,anthropic,us-east,2287362,1524908,3812270,114.37,105
2026-05-02,Analytics-Agent,large,anthropic,us-east,2442846,1628564,4071410,122.14,157
2026-05-03,Analytics-Agent,large,anthropic,us-east,2385275,1590183,3975458,119.26,119
2026-05-04,Analytics-Agent,large,anthropic,us-east,2774746,1849831,4624577,138.74,119
2026-05-05,Analytics-Agent,large,anthropic,us-east,2084113,1389409,3473522,104.21,153
2026-05-06,Analytics-Agent,large,anthropic,us-east,2568142,1712095,4280237,128.41,192
2026-05-07,Analytics-Agent,large,anthropic,us-east,2116663,1411109,3527772,105.83,159
2026-05-08,Analytics-Agent,large,anthropic,us-east,2265200,1510134,3775334,113.26,122
2026-05-09,Analytics-Agent,large,anthropic,us-east,2526066,1684044,4210110,126.3,165
2026-05-10,Analytics-Agent,large,anthropic,us-east,2174633,1449755,3624388,108.73,113
2026-05-11,Analytics-Agent,large,anthropic,us-east,2189931,1459954,3649885,109.5,106
2026-05-12,Analytics-Agent,large,anthropic,us-east,2601871,1734580,4336451,130.09,180
2026-05-13,Analytics-Agent,large,anthropic,us-east,1959577,1306384,3265961,97.98,100
2026-05-14,Analytics-Agent,large,anthropic,us-east,2324293,1549529,3873822,116.21,153
2026-05-15,Analytics-Agent,large,anthropic,us-east,2835020,1890013,4725033,141.75,159
2026-05-16,Analytics-Agent,large,anthropic,us-east,2832790,1888527,4721317,141.64,124
2026-05-17,Analytics-Agent,large,anthropic,us-east,1960255,1306836,3267091,98.01,88
2026-05-18,Analytics-Agent,large,anthropic,us-east,2092523,1395016,3487539,104.63,160
2026-05-19,Analytics-Agent,large,anthropic,us-east,2141732,1427822,3569554,107.09,125
2026-05-20,Analytics-Agent,large,anthropic,us-east,2773378,1848919,4622297,138.67,181
2026-05-21,Analytics-Agent,large,anthropic,us-east,2723839,1815892,4539731,136.19,226
2026-05-22,Analytics-Agent,large,anthropic,us-east,2722332,1814888,4537220,136.12,128
2026-05-23,Analytics-Agent,large,anthropic,us-east,2240373,1493582,3733955,112.02,114
2026-05-24,Analytics-Agent,large,anthropic,us-east,2040136,1360091,3400227,102.01,135
2026-05-25,Analytics-Agent,large,anthropic,us-east,2679288,1786192,4465480,133.96,128
2026-05-26,Analytics-Agent,large,anthropic,us-east,2556180,1704120,4260300,127.81,137
2026-05-27,Analytics-Agent,large,anthropic,us-east,2469325,1646216,4115541,123.47,144
2026-05-28,Analytics-Agent,large,anthropic,us-east,2824410,1882940,4707350,141.22,233
2026-05-29,Analytics-Agent,large,anthropic,us-east,2509318,1672878,4182196,125.47,194
2026-05-30,Analytics-Agent,large,anthropic,us-east,1898384,1265589,3163973,94.92,84
